pl_name,hostname,pl_rade,ra
Kepler-169 b,Kepler-169,1.13,285.9999204
Kepler-1694 b,Kepler-1694,1.17986031,293.7936339
Kepler-1701 b,Kepler-1701,2.22186207,286.6088625
Kepler-171 b,Kepler-171,2.34,296.7719082
Kepler-1721 b,Kepler-1721,3.11856756,283.5441984
Kepler-1724 b,Kepler-1724,2.83677238,296.1207272
Kepler-1725 b,Kepler-1725,2.8125177,294.3735518
Kepler-1730 b,Kepler-1730,4.48524519,281.9605834
Kepler-1747 b,Kepler-1747,4.26508,284.2096557
Kepler-1751 b,Kepler-1751,1.82417378,284.8465476
Kepler-1759 b,Kepler-1759,0.9037791,298.4656275
Kepler-1763 b,Kepler-1763,1.14651332,294.1130368
Kepler-1768 b,Kepler-1768,2.23346338,299.9572335
Kepler-1774 b,Kepler-1774,3.18179549,288.5743991
Kepler-1781 b,Kepler-1781,2.38091029,291.7114906
Kepler-1791 b,Kepler-1791,3.12103321,284.4903166
Kepler-1800 b,Kepler-1800,0.99679734,297.6513317
Kepler-1806 b,Kepler-1806,2.35560189,287.5349528
Kepler-1808 b,Kepler-1808,3.02511302,287.2924737
Kepler-1810 b,Kepler-1810,3.91815325,291.8129995
Kepler-182 b,Kepler-182,2.58,289.8301128
Kepler-182 c,Kepler-182,3.43,289.8301128
Kepler-1823 b,Kepler-1823,2.0861268,283.754777
Kepler-1835 b,Kepler-1835,3.53387773,280.3148152
Kepler-1839 b,Kepler-1839,1.9493759,294.2244432
Kepler-184 b,Kepler-184,2.36,291.9518784
Kepler-184 d,Kepler-184,2.49,291.9518784
Kepler-1841 b,Kepler-1841,1.48912557,287.7069031
Kepler-186 d,Kepler-186,1.4,298.652736
Kepler-1864 b,Kepler-1864,0.75408365,289.6867653
Kepler-1866 b,Kepler-1866,2.08215108,286.2246453
Kepler-1874 b,Kepler-1874,2.21110724,286.3718158
Kepler-1875 b,Kepler-1875,3.22686692,296.7727406
Kepler-190 b,Kepler-190,1.56,288.5839761
Kepler-1927 b,Kepler-1927,3.40627075,296.3546093
Kepler-193 b,Kepler-193,2.39,296.4985951
Kepler-194 b,Kepler-194,1.51,291.971429
Kepler-1969 b,Kepler-1969,1.68161001,294.7842662
Kepler-197 b,Kepler-197,1.02,295.2264739
